commodity,state,season_avg,trend,exp_price,source
Alsandikai,NATIONAL,5000.0,,5000.0,national
Amaranthus,NATIONAL,4330.0,465.0000000000001,8515.0,national
Amphophalus,NATIONAL,4950.0,,4950.0,national
Apple,NATIONAL,7379.0,-17.808676307007786,7218.721913236929,national
Arhar (Tur/Red Gram)(Whole),NATIONAL,5612.8,108.80000000000001,6592.0,national
Arhar Dal(Tur Dal),NATIONAL,10498.75,253.80952380952388,12783.035714285714,national
Ashgourd,NATIONAL,2925.0,78.57142857142856,3632.142857142857,national
Bajra(Pearl Millet/Cumbu),NATIONAL,2407.8571428571427,31.60714285714285,2692.3214285714284,national
Banana,NATIONAL,3525.098039215686,17.03076923076923,3678.3749622926093,national
Banana - Green,NATIONAL,3500.0,-151.74825174825168,2134.265734265735,national
Barley (Jau),NATIONAL,2325.0,,2325.0,national
Beans,NATIONAL,4290.0,469.99999999999994,8520.0,national
Beetroot,NATIONAL,3427.777777777778,-147.50000000000003,2100.2777777777774,national
Bengal Gram Dal (Chana Dal),NATIONAL,8062.5,,8062.5,national
Bengal Gram(Gram)(Whole),NATIONAL,5751.363636363636,90.86363636363642,6569.136363636364,national
Bhindi(Ladies Finger),NATIONAL,3293.5576923076924,5.193161444548793,3340.296145308631,national
Bitter gourd,NATIONAL,3437.6315789473683,20.654338549075387,3623.5206258890466,national
Black Gram (Urd Beans)(Whole),NATIONAL,6411.833333333333,182.0285714285714,8050.090476190475,national
Black Gram Dal (Urd Dal),NATIONAL,10092.5,,10092.5,national
Bottle gourd,NATIONAL,1880.0,-18.249128919860635,1715.7578397212542,national
Brinjal,NATIONAL,3001.3492063492063,13.353974654377879,3121.534978238607,national
Cabbage,NATIONAL,2124.6666666666665,-10.487208008898774,2030.2817945865772,national
Capsicum,NATIONAL,5603.571428571428,98.35164835164832,6488.736263736262,national
Carrot,NATIONAL,4038.235294117647,22.05882352941177,4236.764705882353,national
Cauliflower,NATIONAL,3332.8571428571427,-54.20168067226891,2845.042016806722,national
Chikoos(Sapota),NATIONAL,6000.0,,6000.0,national
Chili Red,NATIONAL,11000.0,,11000.0,national
Chilly Capsicum,NATIONAL,3325.0,,3325.0,national
Cluster beans,NATIONAL,3875.0,,3875.0,national
Cock,NATIONAL,92.0,,92.0,national
Coconut,NATIONAL,6825.0,,6825.0,national
Coconut Seed,NATIONAL,6200.0,,6200.0,national
Colacasia,NATIONAL,3631.6666666666665,-348.216783216783,497.7156177156194,national
Coriander(Leaves),NATIONAL,3690.214285714286,-159.07472527472527,2258.5417582417585,national
Cotton,NATIONAL,6881.25,,6881.25,national
Cowpea(Veg),NATIONAL,5472.727272727273,-180.90909090909096,3844.545454545454,national
Cucumbar(Kheera),NATIONAL,2363.5897435897436,46.97368421052634,2786.3529014844808,national
Cummin Seed(Jeera),NATIONAL,11000.0,,11000.0,national
Drumstick,NATIONAL,6080.0,159.39393939393943,7514.545454545455,national
Elephant Yam (Suran),NATIONAL,3887.5,,3887.5,national
Field Pea,NATIONAL,7530.0,,7530.0,national
Fish,NATIONAL,20556.521739130436,-109.38735177865611,19572.035573122528,national
French Beans (Frasbean),NATIONAL,5980.0,550.0,10930.0,national
Garlic,NATIONAL,6375.882352941177,96.8382352941177,7247.426470588235,national
Ginger(Dry),NATIONAL,6662.5,,6662.5,national
Ginger(Green),NATIONAL,5423.125,-126.24130434782609,4286.9532608695645,national
Grapes,NATIONAL,11387.5,,11387.5,national
Green Avare (W),NATIONAL,3600.0,,3600.0,national
Green Chilli,NATIONAL,4350.833333333333,-15.684976118106816,4209.6685482703715,national
Green Gram (Moong)(Whole),NATIONAL,5862.0,43.33333333333334,6252.0,national
Green Gram Dal (Moong Dal),NATIONAL,10273.0,-12.999999999999993,10156.0,national
Green Peas,NATIONAL,10200.0,,10200.0,national
Groundnut,NATIONAL,5064.333333333333,,5064.333333333333,national
Guar,NATIONAL,6400.0,-349.9999999999999,3250.000000000001,national
Guava,NATIONAL,2595.0,-24.749999999999993,2372.25,national
Gur(Jaggery),NATIONAL,4084.1666666666665,106.14285714285714,5039.452380952381,national
Hen,NATIONAL,35.0,,35.0,national
Indian Beans (Seam),NATIONAL,6000.0,,6000.0,national
Jowar(Sorghum),NATIONAL,2450.0,,2450.0,national
Jute,NATIONAL,7791.666666666667,-10.0,7701.666666666667,national
Kabuli Chana(Chickpeas-White),NATIONAL,8458.0,,8458.0,national
Knool Khol,NATIONAL,2800.0,,2800.0,national
Lak(Teora),NATIONAL,3200.0,,3200.0,national
Leafy Vegetable,NATIONAL,2400.0,,2400.0,national
Lemon,NATIONAL,4309.642857142857,-145.087912087912,3003.8516483516487,national
Lentil (Masur)(Whole),NATIONAL,7041.666666666667,,7041.666666666667,national
Lime,NATIONAL,4433.333333333333,,4433.333333333333,national
Little gourd (Kundru),NATIONAL,4162.5,,4162.5,national
Long Melon(Kakri),NATIONAL,900.0,,900.0,national
Maize,NATIONAL,2023.2777777777778,23.8297213622291,2237.74527003784,national
Mango,NATIONAL,8225.0,,8225.0,national
Mango (Raw-Ripe),NATIONAL,4425.0,,4425.0,national
Masur Dal,NATIONAL,9525.0,-367.1428571428571,6220.714285714286,national
Methi(Leaves),NATIONAL,2762.5,,2762.5,national
Mint(Pudina),NATIONAL,10.0,,10.0,national
Moath Dal,NATIONAL,9900.0,,9900.0,national
Mousambi(Sweet Lime),NATIONAL,3146.5384615384614,4.615384615384616,3188.076923076923,national
Mustard,NATIONAL,6548.421052631579,-11.464912280701753,6445.236842105263,national
Mustard Oil,NATIONAL,13333.0,3337.000000000001,43366.00000000001,national
Onion,NATIONAL,1745.1149425287356,3.0704600131224025,1772.7490826468372,national
Onion Green,NATIONAL,1704.5,,1704.5,national
Orange,NATIONAL,10833.333333333334,,10833.333333333334,national
Other green and fresh vegetables,NATIONAL,1350.0,,1350.0,national
Paddy(Dhan)(Basmati),NATIONAL,2780.5,,2780.5,national
