field_id,crop,production_q
F1,Groundnut,19335.0
F1,Maize,232077.5
F1,Onion,35250.0
F1,Rice,790.0
F1,Soyabean,9635.0
F1,Groundnut,60415.0
F1,Maize,60065.0
F1,Onion,40175.0
F1,Wheat,70075.0
F1,Maize,12540.0
F1,Onion,37542.5
F1,Coconut,6820.0
F1,Garlic,62.5
F1,Turmeric,4680.0
F1,Groundnut,18315.0
F1,Maize,253427.5
F1,Rice,505.0
F1,Soyabean,10655.0
F1,Groundnut,51342.5
F1,Maize,103477.5
F1,Wheat,74687.5
F1,Maize,1900.0
F1,Banana,59070.0
F1,Coconut,15325.0
F1,Garlic,62.5
F1,Onion,131945.0
F1,Turmeric,4210.0
F1,Groundnut,24160.0
F1,Maize,247775.0
F1,Rice,777.5
F1,Soyabean,11872.5
F1,Groundnut,43262.5
F1,Maize,119147.5
F1,Wheat,92952.5
F1,Maize,21997.5
F1,Banana,36617.5
F1,Coconut,15670.0
F1,Garlic,55.0
F1,Onion,83800.0
F1,Turmeric,3690.0
F1,Groundnut,44227.5
F1,Maize,166077.5
F1,Rice,1027.5
F1,Soyabean,757.5
F1,Maize,109387.5
F1,Wheat,87422.5
F1,Maize,10165.0
F1,Rice,47.5
F1,Coconut,13640.0
F1,Onion,160777.5
F1,Turmeric,3882.5
F1,Groundnut,4800.0
F1,Maize,152362.5
F1,Rice,575.0
F1,Soyabean,1820.0
F1,Groundnut,32485.0
F1,Maize,78962.5
F1,Wheat,80965.0
F1,Maize,10542.5
F1,Rice,40.0
F1,Banana,17795.0
F1,Brinjal,2525.0
F1,Coconut,10475.0
F1,Garlic,37.5
F1,Grapes,40957.5
F1,Mango,2300.0
F1,Onion,76512.5
F1,Papaya,292.5
F1,Tomato,1597.5
F1,Turmeric,4977.5
F1,Groundnut,4110.0
F1,Maize,132222.5
F1,Rice,525.0
F1,Soyabean,297.5
F1,Groundnut,57177.5
F1,Maize,81440.0
F1,Wheat,45817.5
F1,Maize,8275.0
F1,Rice,17.5
F1,Banana,18557.5
F1,Brinjal,10942.5
F1,Coconut,7167.5
F1,Garlic,310.0
F1,Grapes,196287.5
F1,Mango,5182.5
F1,Onion,69735.0
F1,Tomato,2132.5
F1,Groundnut,9440.0
F1,Maize,325700.0
F1,Rice,446.875
F1,Soyabean,12890.0
F1,Groundnut,63230.0
F1,Maize,105557.5
F1,Wheat,82257.5
F1,Maize,14227.5
F1,Banana,17580.0
F1,Coconut,54533.8
F1,Garlic,310.0
F1,Onion,163590.0
F1,Turmeric,5692.5
F1,Groundnut,12500.0
F1,Maize,382940.0
F1,Onion,98792.5
F1,Rice,887.5
F1,Soyabean,12367.5
F1,Groundnut,45392.5
F1,Maize,154800.0
F1,Onion,38305.0
F1,Wheat,87370.0
F1,Maize,17595.0
F1,Onion,24337.5
F1,Rice,490.0
F1,Banana,6192.5
F1,Coconut,4932.5
F1,Garlic,125.0
F1,Turmeric,11132.5
F1,Groundnut,7277.5
F1,Maize,344197.5
F1,Rice,847.5
F1,Soyabean,8037.5
F1,Groundnut,30000.0
F1,Maize,111107.5
F1,Wheat,68360.0
F1,Maize,16562.5
F1,Banana,28550.0
F1,Coconut,2820.0
F1,Garlic,115.0
F1,Onion,147755.0
F1,Turmeric,10112.5
F1,Groundnut,9665.0
F1,Maize,487112.5
F1,Onion,203527.5
F1,Rice,515.0
F1,Soyabean,8685.0
F1,Groundnut,36062.5
F1,Maize,168545.0
F1,Onion,25537.5
F1,Wheat,95750.0
F1,Maize,19045.0
F1,Onion,15075.0
F1,Banana,34965.0
F1,Coconut,3360.0
F1,Garlic,160.0
F1,Turmeric,39240.0
F1,Groundnut,3415.0
F1,Maize,402442.5
F1,Onion,136325.0
F1,Rice,665.325
F1,Soyabean,5785.0
F1,Groundnut,41527.5
F1,Maize,182655.0
F1,Onion,56932.5
F1,Wheat,93715.0
F1,Maize,22980.0
F1,Onion,10132.5
F1,Banana,82125.0
F1,Coconut,7022.5
F1,Garlic,152.5
F1,Turmeric,33505.0
F1,Groundnut,4472.5
F1,Maize,310255.0
F1,Onion,123612.5
F1,Rice,953.9499999999999
F1,Soyabean,5087.5
F1,Groundnut,50665.0
F1,Maize,159662.5
F1,Onion,35797.5
F1,Wheat,90532.5
F1,Maize,23880.0
F1,Onion,11212.5
F1,Banana,42620.0
F1,Coconut,10915.0
F1,Garlic,80.0
F1,Turmeric,61792.5
F1,Groundnut,6410.0
F1,Maize,605075.0
F1,Onion,353280.0
F1,Rice,970.0
F1,Soyabean,7952.5
F1,Groundnut,62840.0
F1,Maize,161155.0
F1,Onion,35642.5
F1,Wheat,100587.5
F1,Maize,23615.0
F1,Onion,25942.5
F1,Rice,185.0
F1,Banana,42390.0
F1,Coconut,15867.5
F1,Garlic,52.5
F1,Turmeric,32942.5
F1,Groundnut,4862.5
F1,Maize,492610.0
F1,Onion,354732.5
F1,Rice,635.0
