field_id,crop,profit
F1,Groundnut,97918885.0
F1,Maize,519330327.9072068
F1,Onion,62489405.16330101
F1,Rice,2880244.4033613442
F1,Soyabean,40077629.53296703
F1,Groundnut,305961698.3333333
F1,Maize,134410169.64482287
F1,Onion,71220194.39533669
F1,Wheat,177892835.20556688
F1,Maize,28061325.686274514
F1,Onion,66553432.43526889
F1,Coconut,46546500.0
F1,Garlic,452964.1544117647
F1,Turmeric,78390000.0
F1,Groundnut,92753265.0
F1,Maize,567106189.4225147
F1,Rice,1841168.8907563023
F1,Soyabean,44320409.2032967
F1,Groundnut,260015534.16666666
F1,Maize,231556286.1803406
F1,Wheat,189602156.6809244
F1,Maize,4251716.013071896
F1,Banana,217281609.02262443
F1,Coconut,104593125.0
F1,Garlic,452964.1544117647
F1,Onion,233905377.70983693
F1,Turmeric,70517500.0
F1,Groundnut,122354293.33333333
F1,Maize,554457334.2836257
F1,Rice,2834670.915966386
F1,Soyabean,49384707.48626373
F1,Groundnut,219095720.8333333
F1,Maize,266621754.56183353
F1,Wheat,235969800.42019916
F1,Maize,49224801.57765738
F1,Banana,134692895.1817496
F1,Coconut,106947750.0
F1,Garlic,398608.45588235295
F1,Onion,148556373.12580496
F1,Turmeric,61807500.0
F1,Groundnut,223982802.5
F1,Maize,371639140.08470935
F1,Rice,3746140.6638655458
F1,Soyabean,3150887.843406593
F1,Maize,244781360.7262642
F1,Wheat,221931307.68117976
F1,Maize,22746680.66993464
F1,Rice,173179.2521008403
F1,Coconut,93093000.0
F1,Onion,285018165.6352519
F1,Turmeric,65031875.0
F1,Groundnut,24308800.0
F1,Maize,340948463.7061404
F1,Rice,2096380.4201680669
F1,Soyabean,7570449.999999999
F1,Groundnut,164514868.3333333
F1,Maize,176697960.88536292
F1,Wheat,205538257.61567923
F1,Maize,23591429.509373926
F1,Rice,145835.15966386552
F1,Banana,65456682.453996986
F1,Brinjal,7881875.820052482
F1,Coconut,71491875.0
F1,Garlic,271778.4926470588
F1,Grapes,466403531.25
F1,Mango,18917500.0
F1,Onion,135637464.18601614
F1,Papaya,624593.8636363635
F1,Tomato,4607020.619760663
F1,Turmeric,83373125.0
F1,Groundnut,20814410.0
F1,Maize,295880273.9675783
F1,Rice,1914086.470588235
F1,Soyabean,1237477.4038461538
F1,Groundnut,289565919.1666666
F1,Maize,182241974.79188168
F1,Wheat,116312593.32188457
F1,Maize,18517342.109563123
F1,Rice,63802.88235294117
F1,Banana,68261443.36274509
